,pid,Company,Location,Job Title,Days ago posted,Date Added,Link,Description,Rank
1,pj_1f045102bf39eed0,Cancer Treatment Centers of America,"Newnan, GA 30265",Vice President Business Development,18 days ago,2020-02-07,/pagead/clk?mo=r&ad=-6NYlbfkN0CgOeAhmEzScNAtH9dtdAR_6UkBk9qoOMCFvCQXyiq-xP8D7raVzQ40u936N40zxzO5KvxUj_vp1ARIgH5cHgzYefaz5uGYjaEjhIfOTgSocxYQiNtGD7kNfFyAf9Pei7IhQZxwkJRzYPvJxG4bYgBXFgS2FXNzO6nDYysWD5EJeYWRFpJIaMlsHPIIAUiad7dSoIjayvFZKu5RHGYm7059wyNU3pv8w3Xfr8wEDo7LTqCYt0am0ETnNxl9smSWEJo8q6nChPN0_K3n-lenhrVjCwm1pwPNBSLwhfuvk2rAkBfhuuOP0O9A52PK99oiCqG49YfKYicI2HwwUvVEwenYmNWhzkVod82-NAaBrO6I6aX1Fkm2jkIoBZm1E11ps5aL-wVvBAuxEKd1SByCRNVLsNSXp3MqPP4psEBH8PhJR5W6NDWRpkpihbB3y9IkSlm1j3ArBiMcxzBc_yReQgxI-RUnC5CbRqtXjpCBuM3bZ6KqUGiTbALRg7DCYBsv_9Y8s7FWk9Gazowl-nEPYvZrnF_FF7KXo03KsMdxZ-NIrfxWFddIx6vXwhyzAyYiLSqtCbO-G_SppM7T2NCfgs_VLHLmpuocwDdpYC7CPdZhzzlICcfKXs3MRHq8D3EBYbAJI9NKB1gUkr6pNwKDLDgbM5fM6y86AARL2IKZf6aq5wKlBGT4XI-IPEZei5uHLBnKAM95Si7TXWw-PfqRUFNIiApuQUalFwZhO_ZQcw01AShaKdL5xWTZNS6NigaL2zBSvluxmPc4QicH3d8QLl9d1Hd3oXr3-cA3-8TykWCKFeXnLWd24S91Wa2KYkgH0zJg_oeBHwrI-JStGR_-kL1NOiFGC83JsFg=&p=0&fvj=0&vjs=3,Not found,1
2,pj_5ac3d92deb2809d5,Latitude,"Atlanta, GA 30326 (North Buckhead area)",Healthcare Consulting Attorney,30+ days ago,2020-02-07,/pagead/clk?mo=r&ad=-6NYlbfkN0Bm6HJxcY0Tqjaa3n41Rv68Ym0q5XegBsUyML2tebqrB1Px6kUnQDr-AL8wXRFsJIQzH1Nyb5dd7b-SvNTM4IvzaxqDh-GbWc8c7B7CWna-9je19doSCT-CFUYmFMl4A23ta-u3vsr8PH04OonvwylSfMjHo94o1HDUjQpAHJXW_HhCsWeCofQ0iZSGcuyREdBCXXI9srPLBckkX4GyFK4W3FnEAN0ADCeW2PVFLm4qEvhxgw8omE1qF5rlhCt-HQqG-XbbHiyBD_gNeFgPqSTmqgjQw5FLed15BcxDSqfmbFJ2-69gvaIv3zXuUW-r-oNYoHXch8zloWH9EJ4ZUOOC2NmvWwluZI0KrensBlm-xXuORYCgZSx4YwV34MbCmUKH8YUQgRzri7BTv-2fwzYpSbSkL-XF81YtbhAIc-CY5yjzQQKxB_eGYFJgAsJhrq96IrjB0MNLD8r0fCe2fT9koN8aNnnuufvbo7GqND1bXaSdnYTnC2nW7AVzILUkmQocUxXqS9gH_C260eAPBn6irs8ow5OO-6CDCctllBlstHt4DtvG9OZQbiojs6r3HIiQ9IQNh7vUviZf2P0-BOT7V7cWLLhToGtI_lGPfV1bJ_mebCZWD1CeZmh1KelsFfCmM_W34rgJWP8pVZbL2aXQyXx9O9vFgSZQz4JeSreFn4opz-IodUkKcTnGcYqKZaalj4RCAvIRifyNHg2E9Lb1ee7jkwBfuJ2_DUSFdid97aLAdYtndV0toOFIggBeqNj9eWjt67AkVfV1t85jpZWhqKiVULbGv0dBIj2YuE5GWjtxunHNjHC9wtvmDQtrd0eqJU8tdphvmg==&p=1&fvj=0&vjs=3,Not found,0
3,pj_4faf8b0bec1d9b77,Advanced Care Partners,"Atlanta, GA",Controller,15 days ago,2020-02-07,/pagead/clk?mo=r&ad=-6NYlbfkN0C36gb-23OhfmcPl4OmVTv4ANJgGinGBdl-WWiMHCksCMqTbjeWujcFwecb9xf0RTPLCdeMgGAyj9rtzQteGcOUcMoCEJAQLlcLWuLBR-Ko9FBiu5rZPjuxqp6mkZKwai9NVcyq6qP_yzmDEI3ri6FC5m1N6fTDmVjjHMfBWxZbvgaNsoWi0H3TGgWiyUA0eRj0riWOCbK3HFDcOrwPNoVpYa05wfbZYRw3AFR5Yh-OqsZ08B5cndsw4Xi_WVFLFYb1vPq-6rAqy8LrhAq3XYf3tE76tsilvWNVw2wEVqK3uYs4kMTA2mOdT9sd1LndQfNEPgeprg_ElH9qQziQC384TMmosmYBeHQwH_bMudOOsmgW_WFvpNi7Pz_Crs_Z-GOPm6hcJFEz0tcXzd5t3BxfGV691d2W5_HAC0f3Olmdy-NFdeM2gyqSnW25BfCRpE5Br6nYnsiaP4q_yo5kXZ_zaw-6LDOhDCeLR3tVI-YlNSXRrXjuRanbt8b6AAzFo3LY9qo2GSFjVRq8VcYKu72ERKUr1V_0M1eE0Wrvse7onNtG1-Z8OVxzh53w4_yHt7BXpEGyZbdP1J5vnH2fjmy34Gra6A4JSEeKo9nbipJhYd0SgWwEBRGY6FZlvcd7bQ3OxF2_N73IEpvarAx-v_KLcAlFsrZFnzBHB8CjEINq13x7px0YYSoJY180O4lnVlcT_7fEEpsGyOnoe-2p0G_abd3OKna26z6QS7ao2gatFpVroOF3xpiCukE3cekgoJASrpJwOe1sZ5c8dvKS2SnUZA6YXAXjVwGIRucfiq_Gehd-pAODUhutxqXki5C18q-FbldeaavdUrGQnKF3BrgZU8BVzfobGNGh8RC3cJkD1fs3loVwG6OaV6IZw-F6YGqGuFrl85ePyOdkoFd4vgFmzYPpVuhg3Zk_rFYNna3Rh_WxFQWMkZy8ALM9tKHvW0_tx3ZTD774W_feI2vP1lR2VxDIXmJXFsCepM2D_aNg-mggXsg05YqsTVXO4kCkVNE=&p=2&fvj=0&vjs=3,Not found,0
4,p_261d0de6e049613e,SunTrust,"Atlanta, GA",2020 Investment Banking Summer Associate,30+ days ago,2020-02-07,/rc/clk?jk=261d0de6e049613e&fccid=131f8387a45b81d9&vjs=3,Not found,0
5,p_6d8fb8c903c8b406,SunTrust,"Atlanta, GA",2020 Investment Banking/Capital Markets Summer Analyst,30+ days ago,2020-02-07,/rc/clk?jk=6d8fb8c903c8b406&fccid=131f8387a45b81d9&vjs=3,Not found,0
6,p_90a980dcc43c3771,Ankura,"Atlanta, GA",University Associate,21 days ago,2020-02-07,/rc/clk?jk=90a980dcc43c3771&fccid=ec089a92f115a89e&vjs=3,Not found,0
7,p_914759d08a17c23c,KPMG,"Atlanta, GA 30338","Healthcare Managing Director, Financial Due Diligence",14 days ago,2020-02-07,/rc/clk?jk=914759d08a17c23c&fccid=2dd390c3a48a7ed0&vjs=3,Not found,0
8,p_42fbdb44c919a259,EyeCare Partners,"Atlanta, GA",Regional Vice President of Ophthalmology Operations,30+ days ago,2020-02-07,/rc/clk?jk=42fbdb44c919a259&fccid=e5f51008580b81c4&vjs=3,Not found,0
9,p_95acd315c4d1b3c5,Capital One - US,"Alpharetta, GA","Analyst, Underwriting & Portfolio Management (Technology, Me...",30+ days ago,2020-02-07,/rc/clk?jk=95acd315c4d1b3c5&fccid=b85c5070c3d3d8c8&vjs=3,Not found,0
10,p_55cce524a436d9ea,Change Healthcare,"Alpharetta, GA 30005",Career Acceleration Program (CAP) Associate,30+ days ago,2020-02-07,/rc/clk?jk=55cce524a436d9ea&fccid=b1bd9b34a39d5dcd&vjs=3,Not found,0
11,p_a12f97994058eb36,ALPHA MEDICAL CONSULTING INC,"Lawrenceville, GA 30042",Associate Counsel,30+ days ago,2020-02-07,/rc/clk?jk=a12f97994058eb36&fccid=a6f3797282e2c87c&vjs=3,Not found,0
14,p_03316039597b4099,Change Healthcare,"Atlanta, GA","Counsel, Corporate Secretary",30+ days ago,2020-02-07,/rc/clk?jk=03316039597b4099&fccid=b1bd9b34a39d5dcd&vjs=3,Not found,0
15,p_fdeedbc65496342d,DaVita,"Atlanta, GA 30328",Director/ Senior Director of Business Development,30+ days ago,2020-02-07,/rc/clk?jk=fdeedbc65496342d&fccid=4591d24972ae8f6f&vjs=3,Not found,1
16,p_5278abf4848d883b,SHI International Corp.,"Atlanta, GA 30328",Account Executive - Public Sector,30+ days ago,2020-02-07,/rc/clk?jk=5278abf4848d883b&fccid=dc609ce54d5470c6&vjs=3,Not found,0
17,p_c2057c33d083d97b,Avanos,"Alpharetta, GA",Senior Toxicologist,25 days ago,2020-02-07,/rc/clk?jk=c2057c33d083d97b&fccid=a69d62af70d72ed9&vjs=3,Not found,0
18,p_2a26f6b42224d465,EyeSouth Partners,"Atlanta, GA",Senior Staff Accountant,10 days ago,2020-02-07,/rc/clk?jk=2a26f6b42224d465&fccid=28aa515487bd8839&vjs=3,Not found,0
19,p_6c2ac750e8431f40,Change Healthcare,"Alpharetta, GA 30005","Sr. Manager, Technical Accounting - CPA req'd",30+ days ago,2020-02-07,/rc/clk?jk=6c2ac750e8431f40&fccid=b1bd9b34a39d5dcd&vjs=3,Not found,0
21,pj_d65009287e8e7e97,The Atlantic Group,"Atlanta, GA",Staff Accountant,7 days ago,2020-02-07,/pagead/clk?mo=r&ad=-6NYlbfkN0Dg7u8ZfrO0QxuixjrrRDKqngCb5Kp_5ZJ-P4j3doy1U8JNfzEUyVKz81b6zIIHP4KEY27BbSql4ujWS2Zx_SBbmS_hIMDX88LoIIVfpEobF63f2EZDmXDlszAI0hYKPngz3BI3JYlezsH4QNShkAsRu9eg8kJ6EbggpxA3W1tlvJORBSWdOkkSr1MG73OL5yK8o0MOArhWdDyUU_hmnagbQyKWdL0lG7e42yXCP-hcksaJfeI8EoWNNTBlUWVV2Aj0sZtt-d_VIVFbZLEs1WPADs0Xeo2VpRIc_0CC0VC0bq5W2movrnDSMMm6JhUUcIvnG1nluVOQsMj4njK_Kdg8fPgCG0NOCVm6Nwf9xU5ofa28wSHdBAk7o-peKmGGxNOsi4DPMlGOtXqKaeEOCci8-MERZ6qg-xQqGQ5XSCsMqqP5yuZhqSVk3zJf0v1qMcQv8YKRqUzN0bNYPK_cZguG8xNvKAMcKmKP5yfsmFAD_laEtCCdFIuKdmWZG5NpvUzGx13vRHEh0VP6UImC8n247moP1MywIqkX7f5A8uzjyEyHJv1-C1jUqxtIQKAM-JJZH33pMzbFjj1xBHlsCDsq-8ETLz3hw1QobdM1W66iGFZwG5b5oGFsSM5nj1lvzzCkRz31KtRzL9Lf9XpT1BJzuKL0PB8L0icmbJFWa9yt-J08BsBQm4EeWcBoLmIxdbUYhpCQJuqZGRWSVMCI2bQDXTpIMcGHS8WqjaINTOvLvtaG_4UfTrDJ_4G2lvI5pH2JYczsAsA8cGIevm7JV8We&p=9&fvj=1&vjs=3,Not found,0
22,pj_6366cc24d3f2257a,Velocity Resource Group,"Atlanta, GA 30328","Chief Financial Officer, Claims Cost Solutions",28 days ago,2020-02-07,/pagead/clk?mo=r&ad=-6NYlbfkN0BJDXsrfksEaf_T4FVcBMeF4R9aKXJbgBo2Rn9DhmnW4aizSTZcXvjsJmDAbsrti-H9G1voQPOyKOoEMePnA2CX6qnihk00Q6nQpOWSuxVhwRVGTxzW33aYihrtFQHlH3iqeKhrw3_muGDlDTG-hGyxs7s3pfNh1zVXtulQ0cEXtSjsy-n5Ns-EqaDWu7lZpbGbmInqRMu87KUidgvzdDwpLhtjo64Sg7Sa71_BTn0TkIIt2y39LRn4vVBbEpyyOw8050zfq2IiC8HWfuPE_WwGywBnPaME9jk6xPM7gRWIhMsPrV2SJpYcTungO8haoSlypNVSkPBQbtfGITPqdXHluiTzFHNMs_-N69kV9MUgh-G74j0aYHZrNj5yhY0BGFK7F3zywAGQ1-2WPpbQHJfvPgb_nEqaIk_rEdbp3--0pNQAjFTmF8JGMIIbc3hB-DpxHldCiUoVBgNy9v59M4NforbHjlIpFhp_N49NuvVrWSCp30t3m73yIFu3_hCrP8efZb9Q4CBoE8uqhfcn2yGpTgyttBGDSR1v36vtnuGK1rMi9N8ppfqXlpkfS1jOR3iiA72cKJezCy769BafoFgjJmPVGLGQOW3xhMVmDzcCtocLhCHYK8aeig_RtqOE-PmyEJwqdoB7M6xCiKDDpi65dPG2Sj0UXtMQuqrajT7sHkbw75rbU8vK7lxGWA7TXCoeNESJ_vNFsSmRDTcZcWIn11HwsKupHMSrQPLKEZD_rf0sZNfHLDnbaGhTQ5JdIafECfv7nxdqp-8dLYdlSk6LhTddPq9TbE0=&p=10&fvj=1&vjs=3,Not found,0
23,pj_4d61bd985a5d379d,"FTI Consulting, Inc.","New York, NY 10005 (Financial District area)","Managing Director, Capital Markets | Healthcare & Life Scien...",30+ days ago,2020-02-07,/pagead/clk?mo=r&ad=-6NYlbfkN0Cg7HZUmJnRV4dKO0I4YgUBnE_R5BIjwxrqoegT7KJNQTcUeJyzEK6YOMDH9K0-CAiPR_-3xBVgPXZPrJIBIymp03boR1jP26GNtglIsz9h6fmJmiM-0rxFHAVrnZiHo1Zl0dW7rMnYzdpMWByGtFMBcRKANhpjD3doWlYt-saWfAK_v03cGNXGr-yRea2qI_KcbwTFpMV--bk3f1exS0fxCf4eUc9GqimzQK5RkqQ8KKE1yWD0K6f0xfrTCoxgWLckrUBjk-E_DIyxVzHWGpL6Gb7pYwNmheN1rYy9nvi9wMt-LJLpkKGuaGfr_VI3_KMOO2Xmtly7nhcSoR242OBtxxdlcZrqFQS46J0jqhlsoQtyTDWPCo6G1AOhrcwYbYHAWShTkW9aVXZvihG5b6wVy4xliBhLvXw9LFg_-NiDW_qN8R5NVGKtxvotYbHXwGDeiIqOhQ117BtMNBY6bQd7AkormL6reQweKdrccKGxeNebupbgxaMc8yt9jS4X8UF1v7E3LCn3cronbszRTVrZKpdAhDzAmjDdUEJNHburNEOQwGrX30nCWl7gbivtr2zHGXeSwM6e17535m-TTyxQB7w5KL_Nnyyt4LQOwqeqlGhemJF1wQ-EwXA_Z5AhsUn1lxGC6EUqPbAdVXKNK85dWTO26_OadNcw8dbHRAUHGSe7fAn2K0Ww2v5rA0J0b9xnKTPdda5pT6dSFEscehW6rmLX5qCcQehBu4ek2ZQIoooaq9ntzbAIEbooR3WpkstOEs3ZxnbeLMD1ghs5_By4SGt1BqYCCIybRLvSdCtlhk1jEBNE4DJSpbiRW8saASFCjUFbkouZOyXKLcb2kYOmCv9pE-UEgnOolbuc2T0BQg==&p=0&fvj=0&vjs=3,Not found,0
