,pid,Company,Location,Job Title,Days ago posted,Date Added,Link,Description,Rank
1,pj_97e9c8fba02097a5,Cox Communications,"Atlanta, GA 30301 (Buckhead area)","Manager, Mergers & Acquisitions",28 days ago,2020-05-14,/pagead/clk?mo=r&ad=-6NYlbfkN0DlW5UVUkrrTPknGvwwiIjuq5VZhzEKGt5_mzPH1VE7nUU-ooCyYg_Uclt6iWKHI7P9maqN-GKeoaKl-GoHQdGKh226bm03KxOqhS-_YZ6n0drzEA6Tkvog-0Xx2TKLny70TD4rD5RNbhLkOj0o_pRgCuQ0LM1kscKB_0-dWCGMkQtauP1PjsOQ3gM_3cLrx3F5b8gXyoC5UH6FTmoWucET4R-v0oN3u5tXrbg5jg7OjgJ7imkNMXtiYqBdL1tZmTwYy3TP0vXPhOZFgiyeXAQ9xfM9QHaaDLggdt3rFr5CBr8-hoddhyXLYzcQfssIiwbtnWHYPNd2DbFtvlLOhPIko0Tlli--wXcaf7kE93ltgeoA-xAvquYEBs4RWODlRZsAUA1LMeL4htm23fCTHD39bnp7fneO7XEvM8-EKqPfgIc4ly3gJyz_RxPz35HihbRwqX0KDbVd0ok7rx31WfVIN5nMumBc8hbgyQFfU8tkSzNxID3lMPLtmhmpW1e4Z3HLs0Ks6n2qQzCyR4UyBtfl_gf3Wxo_Tq6BG6G2L8OfE3H3IZEYhTEXiG6v42h1KcdiHZi1uSnJ7Y4LjWfAGbONfapNdNfXowSbUNMcYrIL-RykFiNn8pWDGHD-TKHFqdAE4jW4fuBjDDvn_oDwbpWqhsaLQV0X0cIBavM9dKpJ-ROG93VM_lyM7m6S2xfrUDO0TOaHrbChvsFTHFDn7DRrzHz6gZ5u8S2r1TaXbttNpg==&p=0&fvj=0&vjs=3,Not found,2
2,pj_8af3360dc4a5aaca,Latitude,"Atlanta, GA 30326 (North Buckhead area)",Healthcare Consulting Attorney,7 days ago,2020-05-14,/pagead/clk?mo=r&ad=-6NYlbfkN0Bm6HJxcY0Tqjaa3n41Rv68Ym0q5XegBsUyML2tebqrB1Px6kUnQDr-AL8wXRFsJIS8HITmeb0_nkomfEEcSo_tdDjm1hV4TMkcQbomLa-wrlIJ0zO6gqSeUd-SfBOcgbx2gNlHRhBMFNyVEk9tb9SQQCRUxHsN2gTnc5A0EsyM4siuFSLq080heO-mBto2Wt2KIn6GDNU1WFWst2SUrlDDtPHcxJDo-02NTaICxzdhz8yhm6oVTH0ekALXyRMfPAA_koQ0xZFxOKFPBwd8UZ8QcJwNv2bHzEhihdggH05NDLkSiXTQUNmFakzt6mc0qDXxN3EK5UXm3YBFLCAH6kQzM7bo4lmQ9yO5DrhneHRJf5GNv4PhIvarkTnGEoKHrctS7WvKCNfYAnGHEj8B3gzsT8UhJalcwOkR4YkjBqlD9B4Lu0KBwrHByU30D9t2O9OIaGq_CMH5UvCcSe3uVZmnvIfFb1kbrEL1dPdtbUcH8o-M0lqnPCQvj9e7EJnTR8DFu1Vxnp5PJkyRUmRKsHFIxO8EuLw1cfQ6uvofsl3ZPwS9g30RjPUcfnJbROaFbr3qDJQlHKgtgpZHXebn3j8umX4iO64eTrrsoq1AVu07O4x5b9FFMhSf8g3CT_yy44gZCFGjsBhgFTIc594e5YLZMON-FFY1-K54tmbKhqo3ChdZZuOPgz0ZADf-yNH9cgiRAz0JX97tKxGL1FSG1RqDfjGHTUbHVsB8-GH841Z8FtjxuWs4uKa6zCv9BbSXuAGG7cMWgFeOI2A-S3FlHb9nn38k0hxPbRfuctE6FAAi2mSWt5ULlsAwyR3msa9jcM-PvMQpuEfNog==&p=1&fvj=0&vjs=3,Not found,0
3,p_cad27b510049a9a2,Cox Communications,"Atlanta, GA 30301 (Buckhead area)","Manager, Mergers & Acquisitions",28 days ago,2020-05-14,/rc/clk?jk=cad27b510049a9a2&fccid=c7e6b037b4d816c9&vjs=3,Not found,2
4,p_261d0de6e049613e,SunTrust,"Atlanta, GA 30305 (North Buckhead area)",2020 Investment Banking Summer Associate,30+ days ago,2020-05-14,/rc/clk?jk=261d0de6e049613e&fccid=131f8387a45b81d9&vjs=3,Not found,0
5,p_8c8800a59b2a5f73,Anthem,"Atlanta, GA 30308 (Downtown area)",Info Security Exec Advisor - PS35758,7 days ago,2020-05-14,/rc/clk?jk=8c8800a59b2a5f73&fccid=2a4da7fa99f4b9ae&vjs=3,Not found,0
6,p_c62204da6289425d,Ankura,"Atlanta, GA",Associate,30+ days ago,2020-05-14,/rc/clk?jk=c62204da6289425d&fccid=ec089a92f115a89e&vjs=3,Not found,0
7,p_2d66758206dc2c47,Change Healthcare,"Atlanta, GA","Senior Counsel, Artificial Intelligence",1 day ago,2020-05-14,/rc/clk?jk=2d66758206dc2c47&fccid=b1bd9b34a39d5dcd&vjs=3,Not found,0
8,p_a12f97994058eb36,ALPHA MEDICAL CONSULTING INC,"Lawrenceville, GA 30042",Associate Counsel,30+ days ago,2020-05-14,/rc/clk?jk=a12f97994058eb36&fccid=a6f3797282e2c87c&vjs=3,Not found,0
9,p_0c3f4beed3ad7989,Cox Communications,"Atlanta, GA 30301 (Buckhead area)","Senior Manager, Security Awareness, Cyber M&A and Strategic...",26 days ago,2020-05-14,/rc/clk?jk=0c3f4beed3ad7989&fccid=c7e6b037b4d816c9&vjs=3,Not found,0
10,pj_088e1b61ad6ab195,Vaco,"Roswell, GA",Chief Accounting Officer (Information Technology Industry),23 days ago,2020-05-14,/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6uecQWShf9RiJtA2lFFhf0gXEGxJWLzCDX-FBs4ePq3DmgVFKTrnaqc30qJxjIzRRfrb2Wl7XXaVmA1PGDTzEYwzh32sABv9knCnnCrvXmJxRWFyZz6j9TGztGF5wQIIXXkzib_P0YOhp8Pt2G21CEHJuxlT7gLHHRsjeYqFoH0-fzkeqkUBzEBh3c6INVd4LRWjSAQElDnTD7YuMgnhuYLuSPewB7J_vl_pkvczFfbhjvN1sVpiWyfFBovWmVWz4xF5qGhk_l_ecvSFnEjQhT9VTplgZXuTRAIC7dqQhS-ydSpTDV7btXtn6mqxoJkao02Tx8UXEIEZR1tKHb91J0_QCM3cLO2G9PnU_5G4_s5Pmd8cw1JZ5CcueHPOYAd8ZRjQPilznBigS4cBzOhbZ3G3a2JXS2unnRcgRfc9VHOfHDyQfuQMa2by8R9lrwVcDLUMFG51xQBmBPAIURmt2oVRQk0bGsIk3Kb-w9mXXrexFnK7SCPDO2jIt9USBOAxqrxkFqzR0AHGuYXqXb_eCSnSM61BAf5LXo6BGlF1-sXyy_4p8-7YhguO9U9Ofm0uLgPWYaXGwpXtfygcnbWb3PVuyKPVZBU5jEkrp3yOsfI799qRQkXUXR5UuifF7bsYUojARoROkDNpSIzglg6Gk0jwbxvHGK0KH77Ltyz4aKl8_up7nfCOH7dKUT_aWUQtwytqZmDlkE13yW9hEQ8_h91p3G__YY5MtJC6OtgJ6oCIJflelGLJAJ8&p=9&fvj=0&vjs=3,Not found,0
