,pid,Company,Location,Job Title,Days ago posted,Date Added,Link,Description,Rank
1,pj_97e9c8fba02097a5,Cox Communications,"Atlanta, GA 30301 (Buckhead area)","Manager, Mergers & Acquisitions",28 days ago,2020-05-14,/pagead/clk?mo=r&ad=-6NYlbfkN0DlW5UVUkrrTPknGvwwiIjuq5VZhzEKGt5_mzPH1VE7nUU-ooCyYg_Uclt6iWKHI7P9maqN-GKeoaKl-GoHQdGKh226bm03KxOqhS-_YZ6n0drzEA6Tkvog-0Xx2TKLny70TD4rD5RNbhLkOj0o_pRgCuQ0LM1kscKT0bPlTereAXW8BdQD2lgIJCw6z5s6cUB9xqTOXyzueoMj_70_OfXVACqLK5FATk2WFi8uy4yRzQFYSS35ZZvDd3CfjdLHiDxKdAVPDIbFr1vD-3BhUJesi6zGIRgY4pSahmTUVwa9H1A7asiWJec__teCVM2ckwEKtqEGDJlLFeQB1kB3Cwl8TfQ_tnuXZZ2UbsgBZnDgYnWyPrlGFSKNlmJdh9RP6aCLIZXza79o4PbcuPYXhQ6j6jXNdZk3DgnEjXg7CugugZjS6_d4bE2mmiEp10dsoEGkq-J20pt_gq4sPoHeSM1LLbqxdElOOt639l7Y5Rhqk-pSgv3kncMP_C0q8drWfGKOP2FGbAv5N3Zsj3T8CX11GlOWvOACMa88RppuqUKKIuXFckb8u7PKo-4OnT3MCmp5QPIQx340YTyirjct5rQGkrRDVgEDeLCElgxvWS5qF6YFS-NR43o-fg-5NK3sNekgo272RhaTo2zAbkXgIJqCq1Aj77pvcthwrQ53k-Y-_jjhsgoO45un6iyDvwzyFweyyrAUFCYsEtzJQvGbIn5dK_vMGPSa9N3qzFO9fkqo8w==&p=0&fvj=0&vjs=3,Not found,2
2,pj_8af3360dc4a5aaca,Latitude,"Atlanta, GA 30326 (North Buckhead area)",Healthcare Consulting Attorney,7 days ago,2020-05-14,/pagead/clk?mo=r&ad=-6NYlbfkN0Bm6HJxcY0Tqjaa3n41Rv68Ym0q5XegBsUyML2tebqrB1Px6kUnQDr-AL8wXRFsJIS8HITmeb0_nkomfEEcSo_tdDjm1hV4TMkcQbomLa-wrlIJ0zO6gqSeUd-SfBOcgbx2gNlHRhBMFNyVEk9tb9SQwsC4h3QBNcjVlQBAGUBFp8zPxtSJOKEeWe74PPnNOekcmV-eVKaEAbJIyMAlDdNpRMS6pv5ATUev9cpykUXts0deqvVJ43V3nY-ql3Z2-rdq8hX9ycbzAzq4iWgtbsDcswrj3Z-K4cg-9Cg8C6fkrKlAXdVc6eHqCtVMgnFCl1G7uXEmcQ3rlKmVfrmRKFGkqfeAvMkcH71K7Sp0DfkgfO2t_W2zVuS8wkNbBhNk7A_Doxoimj-MfMA2-brvMedf1naL2PNHv0PmkNHI02tljNFBlquVnqyPuVFtrVH0JvOSbQWY-xjH6xWYvEgWeSwd4NCkqzX4Fc8AHLDC4qUk5pj9wubLNOpHTdMzzH4suSAE2VAWrAqjNBrwIHR9LsPDLc5NS3Nf1psTC5z72fWDofbAiF6Cnm0XceYMxoNFytRaBLCe0b4dsqLf-SKAL-TdrpgbWcmiHT_2aqetBou7EoZUDPhhvgx-1r4y8AvaF3WUJq8yDA88t2RuQggji1dedAKJKMKA4vsW7XVQPU9wJvzpEamlf-lnkjfsMQsyEzh1LfHTs-6qA_HfsWkHVblD1qCZwifQi_jfnLY9y_ox997NyJrQc7H_j58Dr8UN9r6dWxfCFp1GZbp2EqdASr27EAP0Of77QN_z6O--uIrkl11HanR6Xb1wwj37UICiXhcUSRNEBUh2kw==&p=1&fvj=0&vjs=3,Not found,0
3,p_cad27b510049a9a2,Cox Communications,"Atlanta, GA 30301 (Buckhead area)","Manager, Mergers & Acquisitions",28 days ago,2020-05-14,/rc/clk?jk=cad27b510049a9a2&fccid=c7e6b037b4d816c9&vjs=3,Not found,2
4,p_261d0de6e049613e,SunTrust,"Atlanta, GA 30305 (North Buckhead area)",2020 Investment Banking Summer Associate,30+ days ago,2020-05-14,/rc/clk?jk=261d0de6e049613e&fccid=131f8387a45b81d9&vjs=3,Not found,0
5,p_8c8800a59b2a5f73,Anthem,"Atlanta, GA 30308 (Downtown area)",Info Security Exec Advisor - PS35758,7 days ago,2020-05-14,/rc/clk?jk=8c8800a59b2a5f73&fccid=2a4da7fa99f4b9ae&vjs=3,Not found,0
6,p_c62204da6289425d,Ankura,"Atlanta, GA",Associate,30+ days ago,2020-05-14,/rc/clk?jk=c62204da6289425d&fccid=ec089a92f115a89e&vjs=3,Not found,0
7,p_2d66758206dc2c47,Change Healthcare,"Atlanta, GA","Senior Counsel, Artificial Intelligence",1 day ago,2020-05-14,/rc/clk?jk=2d66758206dc2c47&fccid=b1bd9b34a39d5dcd&vjs=3,Not found,0
8,p_a12f97994058eb36,ALPHA MEDICAL CONSULTING INC,"Lawrenceville, GA 30042",Associate Counsel,30+ days ago,2020-05-14,/rc/clk?jk=a12f97994058eb36&fccid=a6f3797282e2c87c&vjs=3,Not found,0
9,p_0c3f4beed3ad7989,Cox Communications,"Atlanta, GA 30301 (Buckhead area)","Senior Manager, Security Awareness, Cyber M&A and Strategic...",26 days ago,2020-05-14,/rc/clk?jk=0c3f4beed3ad7989&fccid=c7e6b037b4d816c9&vjs=3,Not found,0
10,pj_088e1b61ad6ab195,Vaco,"Roswell, GA",Chief Accounting Officer (Information Technology Industry),23 days ago,2020-05-14,/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6uecQWShf9RiJtA2lFFhf0gXEGxJWLzCDX-FBs4ePq3DmgVFKTrnaqc30qJxjIzRRfrb2Wl7XXaVmA1PGDTzEYwzh32sABv9knCnnCrvXmJxRWFyZz6j9TGkhwKLbKi8uOB6BwQI_jiDRCeDZDobjSqyaGT3Xf_ydMUXGMm9m6jXs2YVLzMgU_etVyqg9SZ-0uRbertb91HMP7B9j-UIIkb2pOkzIBMFLzdcTeH-X0XyJL5VlN5KWvVkCtjkQMByBNJrJwanhaMUJ5_MyrqTrCHFjyoKKdXt-BZP8SF3SPwOejDRw214eLNyllQ1A00i_sB7F2gSvrKu07vUlZ4q2uwu5OPuSA8tczr_c-xAy3_JKQva8Wael0vIKrYRcXvlh-M5vcGKUsd3X54BEzru9A2HH8fgw7VZ_wY5X2hrYQjP6Ilez2OBPqjwZPOMuCF3nfrmVbtfWfzdwJUlBN2JZPhv0tU2tnYGnYa5LJg9xkT1j9a6aWi5pFKcwieFSV1CoMW6STK4Z_TOti4LRRTPBE4Z0XSlAoNpBrk113AR3vwelCEYc8R-yli-lzRzYIiEYVl8rtkWqMV1Cujm95HNMld-snbfa7L3MTwa5EnpMcKBEgXTLWf8LvaS3jqH7O6UKQ3H_aQa8DY1JRiroiti49pAp8-V8Cs_z-QFlZjMgmlAcZ2T7DMoo8NRsvavaumBxttjl88hZ-J3SFpnqOiGvB6LB_PLGo3vT0rKd4oh0H5EhyXsHjjSCDo&p=9&fvj=0&vjs=3,Not found,0
11,pj_2507ba81f5658628,Axia Women's Health,"Voorhees, NJ 08043",Project Manager,28 days ago,2020-05-14,/pagead/clk?mo=r&ad=-6NYlbfkN0Cvuy3GE8GerSGAZStmSI64kdCoOBno9FKZ0eYIj5DaRYAwwVgRRJjMhcZA2oGW1SmQAJRbDs4DHT9BWfC1izhqltxjnDCnIAYJoVA5OeQjwsmHoqYty0tLmMecxeNMZt5Rp0xWrAFKEtbeMyKZaUfdq0VliQs_hENF84h1bFeZKT-cpaOm0mj5f1eLbdocUSLENldQ8cD4XRmE54RcFN8tzEAPh1EiS1jLZYc1Ob--Vnao927CY0U3JYTHeescUyAJHJ7jFpKmcsUcCqAsHJHIPhDHbeadhzQd37Ea-1m6xvzwQh1JOvarsNxJVDBLdWMKACzbtrba8gN-0oah-ZHiudGP2OQFJl6fzDy4pPS2pmK3mr1oDQJaQn9G01UqT-QS-NZbgtdzyojnyC6qERN39R0pOlAjQkulNFFiAFnLoAE7lI7Zv17zqIwDrUKbrcD-Eg1evJhPhTtQgwT5I_kzoJfRs1uUn6qJW3ysZd9FbrqqhwCuHEIoVjm4c53S42G3vNO945i4J47dksFJlc3Vaq65gXVA8kg2g917aqkH58Ng5-f-kcqE26bDjX2LlHiv_L1Xyz8ogSr_I4joqmriP8MiwVr2RCqLQR7WGnQ3iKSqbxQL4sXtLP3rOmNRJbFsZSA3KKQMe2O-ZXVeJAmGXp_FOr1hzpbBYcugCfNFSd_madqwiaS-QuG7GK537wK_x99RUKJQRyVPSTCVwxGhxmQvczHs2J1Pynm_lrfzeNUPlSHVVBw33GjATPpCjltFC6Y1rExlF-orCqV7vGL6&p=0&fvj=1&vjs=3,Not found,0
